action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,32116,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@@H]1CC(=O)N1C(=O)NC(C)C,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL122071,,CHEMBL122071,,0,http://www.openphacts.org/units/Nanomolar,232631,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,34560,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCNC(=O)N1C(=O)C[C@H]1OC(C)=O,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '18.26', 'le': '0.36', 'lle': '3.55', 'sei': '5.50'}",CHEMBL124107,,CHEMBL124107,4.17,0,http://www.openphacts.org/units/Nanomolar,232614,=,1,1,=,,IC50,nM,,68000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,68.0
,,35750,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL120853,,CHEMBL120853,,0,http://www.openphacts.org/units/Nanomolar,232624,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,36956,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@@H]1[C@@H](C)C(=O)N1C(=O)NCc1ccccc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '18.77', 'le': '0.35', 'lle': '3.93', 'sei': '6.85'}",CHEMBL122296,,CHEMBL122296,5.19,0,http://www.openphacts.org/units/Nanomolar,232628,=,1,1,=,,IC50,nM,,6500.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,6.5
,,43015,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@@H]1[C@H](C)C(=O)N1C(=O)NCc1ccccc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '16.54', 'le': '0.31', 'lle': '3.31', 'sei': '6.03'}",CHEMBL333734,,CHEMBL333734,4.57,0,http://www.openphacts.org/units/Nanomolar,232616,=,1,1,=,,IC50,nM,,27000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,27.0
,,47836,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL74483,,CHEMBL74483,,0,http://www.openphacts.org/units/Nanomolar,232622,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,49167,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)NC(=O)N1C(=O)C[C@H]1Oc1ccc(C(=O)O)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '13.69', 'le': '0.26', 'lle': '2.56', 'sei': '4.17'}",CHEMBL333117,,CHEMBL333117,4.00,0,http://www.openphacts.org/units/Nanomolar,232618,=,1,1,=,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,49169,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1ccc(O[C@@H]2CC(=O)N2C(=O)Nc2ccccc2)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL334176,,CHEMBL334176,,0,http://www.openphacts.org/units/Nanomolar,232626,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,49170,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '12.09', 'le': '0.22', 'lle': '0.76', 'sei': '6.30'}",CHEMBL122983,,CHEMBL122983,4.77,0,http://www.openphacts.org/units/Nanomolar,232619,=,1,1,=,,IC50,nM,,17000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,17.0
,,54244,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CCC1(CC)C(=O)N(C(=O)NC)[C@@H]1OC(C)=O,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL122731,,CHEMBL122731,,0,http://www.openphacts.org/units/Nanomolar,232629,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,55519,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@@H]1[C@@H](C)C(=O)N1C(=O)Nc1ccccc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '15.50', 'le': '0.29', 'lle': '2.48', 'sei': '5.37'}",CHEMBL123589,,CHEMBL123589,4.07,0,http://www.openphacts.org/units/Nanomolar,232627,=,1,1,=,,IC50,nM,,86000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,86.0
,,55521,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL331459,,CHEMBL331459,,0,http://www.openphacts.org/units/Nanomolar,232620,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
