,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL122071,CC(=O)O[C@@H]1CC(=O)N1C(=O)NC(C)C,inactive,214.221,0.2259,1.0,4.0,4.0
1,CHEMBL124107,CCCCNC(=O)N1C(=O)C[C@H]1OC(C)=O,inactive,228.24799999999996,0.6175999999999997,1.0,4.0,4.167491087293763
2,CHEMBL120853,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,354.3620000000001,2.4778000000000002,2.0,4.0,4.0
3,CHEMBL122296,CC(=O)O[C@@H]1[C@@H](C)C(=O)N1C(=O)NCc1ccccc1,intermediate,276.292,1.2636999999999998,1.0,4.0,5.187086643357144
4,CHEMBL333734,CC(=O)O[C@@H]1[C@H](C)C(=O)N1C(=O)NCc1ccccc1,inactive,276.292,1.2636999999999998,1.0,4.0,4.568636235841013
5,CHEMBL74483,CC[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,368.3890000000001,2.8679000000000006,2.0,4.0,4.0
6,CHEMBL333117,CC(C)NC(=O)N1C(=O)C[C@H]1Oc1ccc(C(=O)O)cc1,inactive,292.291,1.4399999999999997,2.0,4.0,4.0
7,CHEMBL334176,O=C(O)c1ccc(O[C@@H]2CC(=O)N2C(=O)Nc2ccccc2)cc1,inactive,326.308,2.554100000000001,2.0,4.0,4.0
8,CHEMBL122983,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,inactive,394.4710000000002,4.0084000000000035,1.0,4.0,4.769551078621726
9,CHEMBL122731,CCC1(CC)C(=O)N(C(=O)NC)[C@@H]1OC(C)=O,inactive,242.27499999999998,0.8635999999999997,1.0,4.0,4.0
10,CHEMBL123589,CC(=O)O[C@@H]1[C@@H](C)C(=O)N1C(=O)Nc1ccccc1,inactive,262.265,1.586,1.0,4.0,4.0655015487564325
11,CHEMBL331459,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,inactive,394.4710000000002,4.0084000000000035,1.0,4.0,4.0
12,CHEMBL123457,CC(=O)O[C@H]1N(C(=O)NCc2ccccc2)C(=O)C1(C)C,inactive,290.3190000000001,1.6538,1.0,4.0,4.0
13,CHEMBL123455,CC(=O)O[C@@H]1[C@H](C)C(=O)N1C(=O)Nc1ccccc1,inactive,262.265,1.586,1.0,4.0,4.0
14,CHEMBL332366,O=C(O)c1ccc(O[C@@H]2CC(=O)N2C(=O)NCc2ccccc2)cc1,inactive,340.335,2.2318,2.0,4.0,4.0
15,CHEMBL331210,CC(=O)O[C@@H]1CC(=O)N1C(=O)NCc1ccccc1,inactive,262.265,1.0176999999999998,1.0,4.0,4.376750709602099
16,CHEMBL122575,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,354.3620000000001,2.4778000000000002,2.0,4.0,4.698970004336019
17,CHEMBL305708,CC[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,inactive,368.3890000000001,2.8679000000000006,2.0,4.0,4.301029995663981
18,CHEMBL122963,CCNC(=O)N1C(=O)C[C@H]1OC(C)=O,inactive,200.19399999999996,-0.16260000000000008,1.0,4.0,4.0
19,CHEMBL49877,C[C@@H]1[C@H](C)[C@@H]1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,intermediate,566.7240000000003,2.9353000000000025,0.0,6.0,5.292429823902063
20,CHEMBL446658,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,intermediate,342.395,2.181,0.0,4.0,5.045757490560675
21,CHEMBL431337,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,intermediate,603.7450000000002,3.416500000000002,1.0,6.0,5.180456064458132
22,CHEMBL48421,CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,inactive,527.6470000000003,1.8461000000000003,1.0,6.0,4.657577319177793
23,CHEMBL47226,CC(=O)N1C(=O)C(C)(C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,330.384,2.181,0.0,4.0,3.3010299956639813
24,CHEMBL48562,COP(=O)(OC)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,382.3530000000001,2.6453000000000007,0.0,6.0,3.3010299956639813
25,CHEMBL46944,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,407.47000000000014,3.154200000000002,1.0,4.0,3.6020599913279625
26,CHEMBL296301,C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,398.5030000000001,3.4532000000000025,0.0,4.0,3.3010299956639813
27,CHEMBL49731,C[C@@H]1C(=O)N(c2nccs2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,357.43500000000006,2.9055000000000017,0.0,5.0,3.3010299956639813
28,CHEMBL47429,C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,inactive,594.7780000000002,3.7155000000000022,0.0,6.0,4.0
29,CHEMBL50373,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,440.4120000000002,3.2654000000000023,0.0,7.0,3.3010299956639813
30,CHEMBL297341,C[C@@H]1[C@H](C)[C@@H]1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,370.4490000000001,2.673000000000001,0.0,4.0,4.142667503568732
31,CHEMBL298789,C[C@@H]1C(=O)N(C(=O)C(C)(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,358.43800000000005,2.817100000000001,0.0,4.0,3.3010299956639813
32,CHEMBL300091,CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,331.37199999999996,1.5837999999999994,1.0,4.0,3.3010299956639813
33,CHEMBL45899,CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,316.35699999999997,1.7908999999999997,0.0,4.0,4.3979400086720375
34,CHEMBL298170,COC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,332.356,2.0107999999999997,0.0,5.0,3.8297382846050425
35,CHEMBL301787,CC1CC1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,356.4220000000001,2.4270000000000005,0.0,4.0,4.795880017344075
36,CHEMBL295394,CC1CC1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,intermediate,552.6970000000003,2.689300000000002,0.0,6.0,5.853871964321762
37,CHEMBL431158,C[C@@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,352.41200000000003,1.2040000000000002,0.0,5.0,3.3010299956639813
38,CHEMBL49788,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,inactive,395.41500000000013,3.3572000000000024,0.0,5.0,3.3010299956639813
39,CHEMBL45799,C[C@@H]1C(=O)N(c2nccs2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,intermediate,553.7100000000003,3.1678000000000015,0.0,7.0,5.6777807052660805
40,CHEMBL299435,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,active,538.6700000000002,2.4433000000000007,0.0,6.0,6.468521082957745
41,CHEMBL48639,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,inactive,591.6900000000003,3.619500000000003,0.0,7.0,4.3872161432802645
42,CHEMBL58311,O=c1cc(-c2ccccc2)sc2ccccc12,inactive,238.311,3.9285000000000023,0.0,2.0,4.468521082957745
43,CHEMBL421075,CS(=O)(=O)c1ccc(-c2cc(=O)c3ccccc3s2)cc1,inactive,316.403,3.3320000000000016,0.0,4.0,4.468521082957745
44,CHEMBL123060,O=c1cc(-c2cccnc2)sc2ccccc12,inactive,239.299,3.323500000000001,0.0,3.0,4.468521082957745
